id,Country,Name,Description,Type,Autumn,Winter,Spring,Summer,Ingredients,Food_Groups,Total_Energy,Total_Protein,Total_Fat,Total_Carbs,Total_Fibre,Total_Calcium,Total_Iron,Total_Folate,Dishes,Quantities,Food_Groups_Counter
1012,Ireland,Sandwich with a banana and yogurt,"Chicken, tomato and cucumber sandwich on wholemeal bread with a banana and yogurt",Lunch,Y,Y,Y,Y,"[[""19-538"", ""11-981"", ""13-517"", ""13-523""], [""14-318""], [""12-379""]]","[[""MI"", ""AF"", ""DG"", ""DG""], [""FA""], [""BN""]]",583.96,65.15199999999999,7.2780000000000005,69.294,6.692000000000001,507.92,2.8066000000000004,124.72,"[1029, 1005, 1017]","[[200.0, 44.0, 80.0, 80.0], [118.0], [250.0]]","[[""MI"", 1, 200.0], [""AF"", 1, 44.0], [""DG"", 1, 80.0], [""FA"", 1, 118.0], [""BN"", 1, 250.0]]"
1013,Ireland,Chilli con carne with side salad,"Beef and kidney bean chilli con carne with brown rice and a tomato, lettuce and cucumber side salad",Evening Meal,Y,Y,Y,Y,"[[""18-507"", ""13-109"", ""11-869"", ""13-524"", ""13-499"", ""13-497"", ""13-637""], [""13-517"", ""13-520"", ""13-523""]]","[[""MAC"", ""DB"", ""AC"", ""DG"", ""DG"", ""DG"", ""DG""], [""DG"", ""DG"", ""DG""]]",575.16,34.727999999999994,6.052000000000001,101.84599999999999,10.900000000000002,190.06,6.7304,223.85999999999999,"[1030, 1031]","[[50.0, 50.0, 218.0, 80.0, 40.0, 80.0, 80.0], [80.0, 50.0, 80.0]]","[[""MAC"", 1, 50.0], [""DB"", 1, 50.0], [""AC"", 1, 218.0], [""DG"", 2, 160.0]]"
1014,Ireland,Crackers and cheese,Wholegrain crackers and cheddar cheese,Snack,Y,Y,Y,Y,"[[""11-820"", ""12-548""]]","[[""AM"", ""BL""]]",342.3,23.061,20.511,17.328000000000003,0.9359999999999999,652.32,0.6228,46.56,[1032],"[[24.0, 75.0]]","[[""AM"", 1, 24.0], [""BL"", 1, 75.0]]"
1015,Ireland,Wholemeal bread and peanut butter,Wholemeal bread and peanut butter,Snack,Y,Y,Y,Y,"[[""14-892"", ""11-820""]]","[[""GA"", ""AM""]]",379.95,12.396,27.246,22.623,3.906,38.97,1.4178,28.41,[1033],"[[45.0, 24.0]]","[[""GA"", 1, 45.0], [""AM"", 1, 24.0]]"
1016,Ireland,Wheat biscuit cereal with milk and an apple,Wheat biscuit cereal with milk and an apple,Breakfast,Y,Y,Y,Y,"[[""14-319""], [""12-313"", ""11-773""]]","[[""FA""], [""BAH"", ""AI""]]",377.9,14.32,5.39,72.74,7.86,266.5,7.332999999999999,120,"[1021, 1022]","[[170.0], [200.0, 60.0]]","[[""FA"", 1, 170.0], [""BAH"", 1, 200.0], [""AI"", 1, 60.0]]"
1017,Ireland,Baked potato with baked beans,Baked potato with baked beans,Lunch,Y,Y,Y,Y,"[[""13-532"", ""13-491""]]","[[""DB"", ""DAM""]]",356,15,1.4,75.2,15,106,4.1,94,[1110],"[[200.0, 200.0]]","[[""DB"", 1, 200.0], [""DAM"", 1, 200.0]]"
1018,Ireland,Milk and grapes,Milk and grapes,Snack,Y,Y,Y,Y,"[[""14-323""], [""12-313""]]","[[""FA""], [""BAH""]]",199.2,7.96,3.56,36.6,2.08,257.6,0.424,27.6,"[1036, 1038]","[[160.0], [200.0]]","[[""FA"", 1, 160.0], [""BAH"", 1, 200.0]]"
1019,Ireland,Kiwifruits,Kiwifruits,Snack,Y,Y,Y,Y,"[[""14-371""]]","[[""FA""]]",41.8,0.76,0.855,8.17,2.565,31.35,0.209,31.35,[1037],[[95.0]],"[[""FA"", 1, 95.0]]"
1020,Ireland,Wholemeal toast and banana,Wholemeal toast and banana,Snack,Y,Y,Y,Y,"[[""11-982""], [""14-318""]]","[[""AF""], [""FA""]]",207.78,6.343999999999999,1.3940000000000001,45.602000000000004,5.26,61.64,1.555,36.76,"[1014, 1005]","[[44.0], [118.0]]","[[""AF"", 1, 44.0], [""FA"", 1, 118.0]]"
1021,Ireland,Porridge with milk and raspberries,Porridge with milk and raspberries,Breakfast,Y,Y,Y,Y,"[[""11-788"", ""12-313""], [""14-375""]]","[[""A"", ""BAH""], [""FA""]]",302.5,13.09,7.6899999999999995,48.83,6.859999999999999,277.8,2.188,78,"[1013, 1015]","[[50.0, 200.0], [80.0]]","[[""A"", 1, 50.0], [""BAH"", 1, 200.0], [""FA"", 1, 80.0]]"
1022,Ireland,"Pitta with tuna, sweetcorn, tomato, lettuce and cucumber, with a latte","Pitta with tuna, sweetcorn, tomato, lettuce and cucumber, with a latte",Lunch,Y,Y,Y,Y,"[[""11-974"", ""13-634"", ""13-517"", ""13-520"", ""13-523"", ""16-416""], [""17-632""]]","[[""AF"", ""DG"", ""DG"", ""DG"", ""DG"", ""JC""], [""P""]]",349.97,28.68,5.507,49.713,2.8230000000000004,416.84,2.3779999999999997,101.73,"[1039, 1040]","[[57.0, 27.0, 27.0, 27.0, 27.0, 50.0], [486.0]]","[[""AF"", 1, 57.0], [""DG"", 1, 27.0], [""JC"", 1, 50.0], [""P"", 1, 486.0]]"
1023,Ireland,Chicken and vegetable stir fry with oranges,"Chicken, pepper, mushroom and onion with oranges",Evening Meal,Y,Y,Y,Y,"[[""14-327""], [""18-323"", ""11-869"", ""13-524"", ""13-506"", ""13-499""]]","[[""FA""], [""MCA"", ""AC"", ""DG"", ""DG"", ""DG""]]",509.35,35.67999999999999,4.37,87.07499999999999,11.952,123.55000000000001,2.5779,187.25,"[1024, 1041]","[[172.0], [75.0, 202.0, 119.0, 70.0, 110.0]]","[[""FA"", 1, 172.0], [""MCA"", 1, 75.0], [""AC"", 1, 202.0], [""DG"", 1, 119.0]]"
1024,Ireland,Hummus and vegetable sticks,Hummus and carrot and celery sticks,Snack,Y,Y,Y,Y,"[[""13-556"", ""13-448"", ""13-636""]]","[[""DB"", ""DG"", ""DG""]]",141.4,3.2700000000000005,10.969999999999999,7.76,2.56,49.8,0.984,35.2,[1042],"[[40.0, 50.0, 40.0]]","[[""DB"", 1, 40.0], [""DG"", 1, 50.0]]"
1025,Ireland,Grapes and low-fat yogurt,Grapes and low-fat yogurt,Snack,Y,Y,Y,Y,"[[""12-379""], [""14-323""]]","[[""BN""], [""FA""]]",249.7,12.96,2.66,46.7,2.08,422.6,0.5840000000000001,54.6,"[1017, 1036]","[[250.0], [160.0]]","[[""BN"", 1, 250.0], [""FA"", 1, 160.0]]"
1026,Ireland,Banana,Banana,Snack,Y,Y,Y,Y,"[[""14-318""]]","[[""FA""]]",95.58,1.416,0.11800000000000001,23.954,1.652,7.08,0.31860000000000005,16.52,[1005],[[118.0]],"[[""FA"", 1, 118.0]]"
1027,Ireland,"Porridge with milk, toast and orange juice","Porridge with milk, toast and orange juice",Breakfast,Y,Y,Y,Y,"[[""11-788"", ""12-313""], [""14-369""], [""11-982""]]","[[""A"", ""BAH""], [""FC""], [""AF""]]",409.7,16.337999999999997,8.145999999999999,72.75800000000001,5.867999999999999,318.76,3.1344,101.03999999999999,"[1013, 1043, 1052]","[[50.0, 200.0], [200.0], [24.0]]","[[""A"", 1, 50.0], [""BAH"", 1, 200.0], [""FC"", 1, 200.0], [""AF"", 1, 24.0]]"
1028,Ireland,"Bunless burger with cheese, potatoes, green beans and carrots","Bunless burger with cheese, potatoes, green beans and carrots",Lunch,Y,Y,Y,Y,"[[""18-042"", ""12-548""], [""13-489""], [""13-449""], [""13-514""]]","[[""MAC"", ""BL""], [""DAM""], [""DG""], [""DB""]]",790.1,52.69499999999999,29.755000000000003,83.04,10.52,737.9,4.8,166.2,"[1044, 1045, 1046, 1047]","[[75.0, 75.0], [390.0], [80.0], [80.0]]","[[""MAC"", 1, 75.0], [""BL"", 1, 75.0], [""DAM"", 1, 390.0], [""DG"", 1, 80.0], [""DB"", 1, 80.0]]"
1029,Ireland,Beans on toast with a kiwi,Beans on toast with a kiwi,Evening Meal,Y,Y,Y,Y,"[[""13-532"", ""11-982""], [""14-371""]]","[[""DB"", ""AF""], [""FA""]]",237.96000000000004,10.823999999999998,2.645,45.486000000000004,10.375,125.80999999999999,2.8614,71.73,"[1048, 1049]","[[80.0, 56.0], [69.0]]","[[""DB"", 1, 80.0], [""AF"", 1, 56.0], [""FA"", 1, 69.0]]"
1030,Ireland,Crackers and peanut butter,Crackers and peanut butter,Snack,Y,Y,Y,Y,"[[""14-892"", ""11-820""]]","[[""GA"", ""AM""]]",309.55,10.454999999999998,23.18,15.695,3.225,28.75,1.1355,24.05,[1050],"[[40.0, 15.0]]","[[""GA"", 1, 40.0], [""AM"", 1, 15.0]]"
1031,Ireland,Berries,Strawberries and blueberries,Snack,Y,Y,Y,Y,"[[""14-324"", ""14-325""]]","[[""FA"", ""FA""]]",52.400000000000006,1.122,0.528,11.37,3.998,20.32,0.597,52.28,[1051],"[[76.0, 74.0]]","[[""FA"", 1, 76.0]]"
1032,Ireland,"Wholegrain cereal with milk, toast and banana","Wholegrain cereal with milk, toast and banana",Breakfast,Y,Y,Y,Y,"[[""12-313"", ""11-763""], [""14-318""], [""11-982""]]","[[""BAH"", ""AI""], [""FA""], [""AF""]]",448.58,16.864,5.534,89.14200000000001,11.659999999999998,303.23999999999995,9.133,265.76,"[1023, 1005, 1052]","[[200.0, 60.0], [118.0], [24.0]]","[[""BAH"", 1, 200.0], [""AI"", 1, 60.0], [""FA"", 1, 118.0], [""AF"", 1, 24.0]]"
1033,Ireland,"Vegetable omelette with side salad, yogurt and soda bread","Vegetable omelette with side salad, yogurt and soda bread",Lunch,Y,Y,Y,Y,"[[""12-963"", ""13-543""], [""12-184""], [""11-1117""], [""13-517"", ""13-520"", ""13-523""]]","[[""CA"", ""DG""], [""BNE""], [""AF""], [""DG"", ""DG"", ""DG""]]",655.85,38.205,19.160000000000004,87.85000000000001,5.3500000000000005,514.8000000000001,5.27,177.7,"[1053, 1054, 1055, 1031]","[[120.0, 80.0], [125.0], [120.0], [80.0, 50.0, 80.0]]","[[""CA"", 1, 120.0], [""DG"", 2, 160.0], [""BNE"", 1, 125.0], [""AF"", 1, 120.0]]"
1034,Ireland,"Salmon, potatoes, broccoli and carrots","Salmon, potatoes, broccoli and carrots",Evening Meal,Y,Y,Y,Y,"[[""16-359"", ""13-495"", ""13-502"", ""13-449""]]","[[""J"", ""DAE"", ""DG"", ""DG""]]",611.6,43.699999999999996,20.17,64.19,10.219999999999999,119.6,4.132000000000001,181.9,[1035],"[[130.0, 390.0, 80.0, 80.0]]","[[""J"", 1, 130.0], [""DAE"", 1, 390.0], [""DG"", 1, 80.0]]"
1035,Ireland,Malt loaf,Malt loaf,Snack,Y,Y,Y,Y,"[[""11-462""]]","[[""AF""]]",97.35,2.574,0.7589999999999999,21.417,1.155,34.32,0.561,11.22,[1056],[[33.0]],"[[""AF"", 1, 33.0]]"
1036,Ireland,Smoothie and nuts,Fruit smoothie and mixed nuts,Snack,Y,Y,Y,Y,"[[""14-880""], [""17-747""]]","[[""GA""], [""PE""]]",330.4,10.52,19.84,29.04,2,37.6,1.172,37.2,"[1057, 1058]","[[40.0], [200.0]]","[[""GA"", 1, 40.0], [""PE"", 1, 200.0]]"
1037,Ireland,Poached eggs on toast with fruit juice,Poached eggs on toast with fruit juice,Breakfast,Y,Y,Y,Y,"[[""12-943"", ""11-982""], [""17-742""]]","[[""CA"", ""AF""], [""PCC""]]",214.36,12.424,6.288,28.902000000000005,4.592,98.94,2.4228,50.32,"[1059, 1060]","[[44.0, 56.0], [150.0]]","[[""CA"", 1, 44.0], [""AF"", 1, 56.0], [""PCC"", 1, 150.0]]"
1038,Ireland,"Pork with mashed potato, carrots and green beans with milk","Pork with mashed potato, carrots and green beans with milk",Lunch,Y,Y,Y,Y,"[[""18-527""], [""13-490""], [""13-497"", ""13-608""], [""12-313""]]","[[""MAG""], [""DAM""], [""DG"", ""DI""], [""BAH""]]",746.85,59.300000000000004,11.685,107.97,36.480000000000004,722.2,10.963000000000001,100.60000000000001,"[1061, 1062, 1063, 1038]","[[75.0], [390.0], [80.0, 80.0], [200.0]]","[[""MAG"", 1, 75.0], [""DAM"", 1, 390.0], [""DG"", 1, 80.0], [""DI"", 1, 80.0], [""BAH"", 1, 200.0]]"
1039,Ireland,Tomato and lentil soup with soda bread,Tomato and lentil soup with soda bread,Evening Meal,Y,Y,Y,Y,"[[""17-636""], [""18-323"", ""14-279"", ""17-038"", ""13-244"", ""13-489""]]","[[""WA""], [""MCA"", ""FC"", ""OC"", ""DG"", ""DAM""]]",525.86,49.261,12.681999999999999,56.985,9.6,90.91,2.465,49.95,"[1064, 1120]","[[400.0], [130.0, 6.0, 2.0, 3.0, 200.0]]","[[""WA"", 1, 400.0], [""MCA"", 1, 130.0], [""FC"", 1, 6.0], [""OC"", 1, 2.0], [""DG"", 1, 3.0], [""DAM"", 1, 200.0]]"
1040,Ireland,Yogurt,Yogurt,Snack,Y,Y,Y,Y,"[[""12-184""]]","[[""BNE""]]",98.75,7.125,3.75,9.75,0,250,0.125,22.5,[1054],[[125.0]],"[[""BNE"", 1, 125.0]]"
1041,Ireland,Tinned fruit,Tinned fruit,Snack,Y,Y,Y,Y,"[[""14-336""]]","[[""FA""]]",45,0.4,0,11.7,0,9,0.4,6,[1065],[[100.0]],"[[""FA"", 1, 100.0]]"
1042,Ireland,Custard and berries,Custard with strawberries and blueberries,Snack,Y,Y,Y,Y,"[[""12-519"", ""14-324"", ""14-325""]]","[[""BR"", ""FA"", ""FA""]]",171.15,6.122000000000001,3.028,31.869999999999997,3.998,195.32,0.7345,62.28,[1066],"[[125.0, 76.0, 74.0]]","[[""BR"", 1, 125.0], [""FA"", 1, 76.0]]"
1043,Ireland,Toast with banana and peanut butter,Toast with banana and peanut butter,Breakfast,Y,Y,Y,Y,"[[""11-982"", ""14-892"", ""14-318"", ""13-874""]]","[[""AF"", ""GA"", ""FA"", ""H""]]",284.5,9.176,9.474,43.762,6.722,77.68,1.8326000000000002,41.68,[1067],"[[36.0, 16.0, 118.0, 2.0]]","[[""AF"", 1, 36.0], [""GA"", 1, 16.0], [""FA"", 1, 118.0], [""H"", 1, 2.0]]"
1044,Ireland,Baked potato with bacon and tuna,Baked potato with bacon and tuna,Lunch,Y,Y,Y,Y,"[[""13-491"", ""16-416"", ""19-500""]]","[[""DAM"", ""JC"", ""MAA""]]",223.25,20.75,6.1000000000000005,22.6,2.6,17.75,1.535,20.75,[1076],"[[100.0, 50.0, 25.0]]","[[""DAM"", 1, 100.0], [""JC"", 1, 50.0], [""MAA"", 1, 25.0]]"
1045,Ireland,Pasta with salmon and peas,"Cooked rice, lettuce, tomato, and tuna",Evening Meal,Y,Y,Y,Y,"[[""11-722"", ""17-038"", ""12-335"", ""13-844"", ""16-357"", ""13-527"", ""14-277""]]","[[""AD"", ""OC"", ""BJC"", ""H"", ""J"", ""DF"", ""PE""]]",581.995,33.131,34.694,36.487500000000004,5.4625,84.965,2.69325,62.61,[1082],"[[87.5, 8.0, 25.0, 4.0, 100.0, 75.0, 12.0]]","[[""AD"", 1, 87.5], [""OC"", 1, 8.0], [""BJC"", 1, 25.0], [""H"", 1, 4.0], [""J"", 1, 100.0], [""DF"", 1, 75.0], [""PE"", 1, 12.0]]"
1046,Ireland,Yogurt and raspberries,Yogurt and raspberries,Snack,Y,Y,Y,Y,"[[""14-375""], [""12-379""]]","[[""FA""], [""BN""]]",162.5,12.64,2.74,23.58,2.96,417.8,0.528,89,"[1015, 1017]","[[80.0], [250.0]]","[[""FA"", 1, 80.0], [""BN"", 1, 250.0]]"
1047,Ireland,Banana bread,Banana bread,Snack,Y,Y,Y,Y,"[[""11-1029""]]","[[""AN""]]",317.76,4.224,11.904000000000002,51.744,0,81.6,1.056,10.56,[1089],[[96.0]],"[[""AN"", 1, 96.0]]"
1048,Ireland,Popcorn,Popcorn,Snack,Y,Y,Y,Y,"[[""17-692""]]","[[""SN""]]",141,2.7,7.05,17.79,2.79,0,0,0,[1091],[[30.0]],"[[""SN"", 1, 30.0]]"
1049,Ireland,Overnight oats,Overnight oats,Breakfast,Y,Y,Y,Y,"[[""11-788"", ""14-842"", ""12-313"", ""12-379"", ""14-083""]]","[[""A"", ""GA"", ""BAH"", ""BN"", ""FA""]]",360.74,15.265999999999998,8.61,59.726,3.9,317.2,2.4280000000000004,52,[1068],"[[50.0, 4.0, 100.0, 100.0, 36.0]]","[[""A"", 1, 50.0], [""GA"", 1, 4.0], [""BAH"", 1, 100.0], [""BN"", 1, 100.0], [""FA"", 1, 36.0]]"
1050,Ireland,Greek pasta salad,Greek pasta salad,Lunch,Y,Y,Y,Y,"[[""11-723"", ""13-523"", ""12-525"", ""13-499"", ""13-519"", ""17-038"", ""17-339"", ""13-878"", ""14-277""]]","[[""AD"", ""DG"", ""BL"", ""DG"", ""DG"", ""OC"", ""WY"", ""H"", ""PE""]]",275.14500000000004,12.156,16.218999999999998,21.7035,4.679,249.05499999999998,2.0619,36.405,[1112],"[[62.5, 28.0, 50.0, 27.5, 31.0, 5.0, 3.0, 2.0, 6.0]]","[[""AD"", 1, 62.5], [""DG"", 1, 28.0], [""BL"", 1, 50.0], [""OC"", 1, 5.0], [""WY"", 1, 3.0], [""H"", 1, 2.0], [""PE"", 1, 6.0]]"
1051,Ireland,Shepard's pie with green beans and sweetcorn,Shepard's pie with green beans and sweetcorn,Evening Meal,Y,Y,Y,Y,"[[""13-553"", ""13-496"", ""17-686"", ""13-499"", ""18-469"", ""13-530""], [""13-515""], [""13-634""]]","[[""DAM"", ""DG"", ""OC"", ""DG"", ""MAC"", ""DG""], [""DB""], [""DG""]]",600.335,30.312500000000004,31.871000000000006,51.64999999999999,10.674999999999997,115.625,3.7264999999999997,182.75,"[1084, 1085, 1086]","[[225.0, 75.0, 4.0, 25.0, 112.5, 100.0], [50.0], [50.0]]","[[""DAM"", 1, 225.0], [""DG"", 2, 125.0], [""OC"", 1, 4.0], [""MAC"", 1, 112.5], [""DB"", 1, 50.0]]"
1052,Ireland,Oat pancakes,Oat pancakes,Breakfast,Y,Y,Y,Y,"[[""17-038"", ""11-788"", ""14-318"", ""12-313"", ""12-937"", ""17-355"", ""14-892""]]","[[""OC"", ""A"", ""FA"", ""BAH"", ""CA"", ""WY"", ""GA""]]",347.71,10.972999999999999,16.860999999999997,40.876000000000005,4.084,116.71999999999998,2.0177,38.54,[1069],"[[7.0, 35.0, 59.0, 50.0, 22.0, 2.0, 8.0]]","[[""OC"", 1, 7.0], [""A"", 1, 35.0], [""FA"", 1, 59.0], [""BAH"", 1, 50.0], [""CA"", 1, 22.0], [""WY"", 1, 2.0], [""GA"", 1, 8.0]]"
1053,Ireland,"Pitta bread with tofu, lettuce and cucumber","Pitta bread with tofu, lettuce and cucumber",Lunch,Y,Y,Y,Y,"[[""11-974"", ""13-571"", ""12-499"", ""13-520"", ""13-523""]]","[[""AF"", ""DB"", ""OA"", ""DG"", ""DG""]]",318.32,16.156999999999996,14.060000000000002,33.817000000000014,2.411,101.75999999999999,2.7695,59.74,[1088],"[[57.0, 42.0, 15.0, 50.0, 50.0]]","[[""AF"", 1, 57.0], [""DB"", 1, 42.0], [""OA"", 1, 15.0], [""DG"", 1, 50.0]]"
1054,Ireland,Spaghetti bolognese,Spaghetti bolognese,Evening Meal,Y,Y,Y,Y,"[[""18-469"", ""13-499"", ""13-505"", ""13-496"", ""11-886"", ""17-515"", ""13-530"", ""50-1173"", ""11-718""]]","[[""MAC"", ""DG"", ""DG"", ""DG"", ""AA"", ""WY"", ""DG"", ""WCN"", ""AD""]]",492.14,32.1745,20.583499999999997,49.17699999999999,8.954,62.58500000000001,4.313199999999999,62.705,[1090],"[[112.5, 27.5, 36.0, 15.0, 4.0, 4.0, 100.0, 5.0, 56.0]]","[[""MAC"", 1, 112.5], [""DG"", 1, 27.5], [""AA"", 1, 4.0], [""WY"", 1, 4.0], [""WCN"", 1, 5.0], [""AD"", 1, 56.0]]"
1055,Ireland,Green smoothie,Green smoothie,Breakfast,Y,Y,Y,Y,"[[""14-369"", ""13-521"", ""13-890"", ""13-523"", ""14-386"", ""12-609""]]","[[""FC"", ""DG"", ""H"", ""DG"", ""FA"", ""BN""]]",70.28,2.2039999999999997,4.638,5.279,1.3619999999999999,70.69,0.9749999999999999,72.1,[1070],"[[33.0, 33.0, 2.0, 17.0, 23.0, 16.0]]","[[""FC"", 1, 33.0], [""DG"", 1, 33.0], [""H"", 1, 2.0], [""FA"", 1, 23.0], [""BN"", 1, 16.0]]"
1056,Ireland,Mixed bean salad,Mixed bean salad,Lunch,Y,Y,Y,Y,"[[""13-660"", ""13-670"", ""13-559"", ""13-634"", ""13-524"", ""13-352"", ""17-364"", ""14-277"", ""17-038"", ""13-244""]]","[[""DB"", ""DB"", ""DB"", ""DG"", ""DG"", ""DG"", ""WY"", ""PE"", ""OC"", ""DG""]]",363.465,24.797,8.1525,51.023999999999994,15.759999999999998,114.84499999999998,6.193499999999999,200.21,[1111],"[[100.0, 100.0, 100.0, 50.0, 30.0, 7.5, 3.0, 12.0, 3.0, 2.0]]","[[""DB"", 1, 100.0], [""DG"", 1, 50.0], [""WY"", 1, 3.0], [""PE"", 1, 12.0], [""OC"", 1, 3.0]]"
1057,Ireland,Baked fish with vegetables and pasta,Baked fish with vegetables and pasta,Evening Meal,Y,Y,Y,Y,"[[""16-373"", ""11-980"", ""13-499"", ""13-844"", ""17-686"", ""14-277"", ""11-716"", ""13-543""]]","[[""JA"", ""AF"", ""DG"", ""H"", ""OC"", ""PE"", ""AD"", ""DG""]]",433.51500000000004,38.942,6.173500000000001,59.346,1.0550000000000002,101.96000000000001,2.2215000000000003,61.975,[1093],"[[120.0, 18.0, 27.5, 4.0, 4.0, 5.0, 60.0, 50.0]]","[[""JA"", 1, 120.0], [""AF"", 1, 18.0], [""DG"", 1, 27.5], [""H"", 1, 4.0], [""OC"", 1, 4.0], [""PE"", 1, 5.0], [""AD"", 1, 60.0]]"
2031,Spain,Fresh cheese with honey,nan,Snack,Y,Y,Y,Y,"[[""12-176"", ""17-050""]]","[[""BL"", ""SC""]]",158.4,6.66,7.7,16.68,0,169,0.36000000000000004,0,[2108],"[[70.0, 20.0]]","[[""BL"", 1, 70.0], [""SC"", 1, 20.0]]"
