ID,Name,Recipe [OPTIONAL],CoFID  ID,Food #1,Quantity (g/ml),CoFID  ID,Food #2,Quantity (g/ml),CoFID  ID,Food #3,Quantity (g/ml),CoFID  ID,Food #4,Quantity (g/ml),CoFID  ID,Food #5,Quantity (g/ml),CoFID  ID,Food #6,Quantity (g/ml),CoFID  ID,Food #7,Quantity (g/ml),CoFID  ID,Food #8,Quantity (g/ml),CoFID  ID,Food #9,Quantity (g/ml),CoFID  ID,Food #10,Quantity (g/ml)
17,Lentil spread,,13-661,"Lentils, green and brown, whole, dried, boiled in unsalted water",80,14-847,Tahini paste,15,13-244,"Garlic, raw",1,17-364,"Mustard, smooth",3,17-367,Salt,1,17-038,"Oil, olive",10,14-277,"Lemon juice, fresh",2,,,,,,,,,
18,Multigrain bread,,11-947,"Bread, seeded",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,White bean spread with sun-dried tomatoes,,13-666,"Beans, cannellini, canned, re-heated, drained",80,13-530,"Tomatoes, canned, whole contents",10,17-041,"Oil, rapeseed",10,13-804,"Basil, fresh",1,17-367,Salt,1,,,,,,,,,,,,,,,
20,Crispy tortilla,Tortilla pieces airfried or baked until golden,11-925,"Tortilla, wheat, soft",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Avocado,,14-386,"Avocado, Hass, flesh only",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Black sesame seed,,14-844,Sesame seeds,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tofu spread,,15-888,Tofu spread,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pitta bread,,11-974,"Bread, pitta, white",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Soy yogurt,,12-609,"Yogurt, soya, non-dairy alternative to yogurt, fruit, fortified",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chocolate granola,,11-788,"Porridge oats, unfortified",30,14-896,"Almonds, whole kernels",5,14-837,"Pecan nuts, kernel only",5,14-842,Pumpkin seeds,5,17-491,"Chocolate, plain",5,17-050,Honey,5,17-367,Salt,0.5,,,,,,,,,
27,Plum,,14-224,"Plums, yellow, flesh and skin, raw",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pink smoothie ,"Bananas, oats, frozen strawberries and raspberries, soy milk, cinnamon blended together",11-788,"Porridge oats, unfortified",40,14-318,"Bananas, flesh only",50,14-324,"Strawberries, raw",50,14-375,"Raspberries, raw",30,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",100,13-874,"Cinnamon, ground",3,17-367,Salt,0.5,,,,,,,,,
29,Nice cream,"Frozen banana, cocoa powder, oat drink, espresso shot blended together",14-318,"Bananas, flesh only",150,12-545,Cocoa powder,10,17-491,"Chocolate, plain",5,14-890,"Coconut milk, reduced fat, retail",10,17-153,"Coffee, infusion, strong",30,,,,,,,,,,,,,,,
30,Carrotcake porridge,"Oatmeal with shredded carrot, cinnamon and walnut ",11-788,"Porridge oats, unfortified",40,13-448,"Carrots, young, raw",20,13-874,"Cinnamon, ground",3,14-879,"Walnuts, kernel only",10,12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",150,17-367,Salt,0.5,,,,,,,,,,,,
31,Applepie porridge ,Porridge with shredded apple and cinnamon,11-788,"Porridge oats, unfortified",40,14-319,"Apples, eating, raw, flesh and skin",20,13-874,"Cinnamon, ground",3,14-896,"Almonds, whole kernels",10,12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",150,17-367,Salt,0.5,,,,,,,,,,,,
32,Pumpkin-spiced porridge ,"Porridge with pumpkin purée, and pumpkin spice mix (cinnamon, nutmeg, cloves)",11-788,"Porridge oats, unfortified",40,13-549,"Pumpkin, flesh only, boiled in unsalted water",20,13-874,"Cinnamon, ground",2,13-877,"Nutmeg, ground",2,13-816,"Cloves, dried",2,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",150,17-367,Salt,0.5,,,,,,,,,
33,Buckwheat chocolate porridge,Buckwheat porridge with cocoa and coconut milk,11-006,"Buckwheat, groats",30,12-545,Cocoa powder,15,17-491,"Chocolate, plain",5,14-890,"Coconut milk, reduced fat, retail",50,12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",150,,,,,,,,,,,,,,,
34,Pumpkin seed,,14-842,Pumpkin seeds,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Brazil nut,,14-871,"Brazil nuts, kernel only",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Walnuts, roasted",,14-879,"Walnuts, kernel only",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Strawberry jam,,17-073,"Jam, fruit with edible seeds",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Raspberries ,,14-375,"Raspberries, raw",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Peanut butter,,14-892,"Peanut butter, smooth",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bananabread,,11-1029,"Banana bread, homemade",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vegan banana pancake,,11-886,"Flour, wheat, white, plain, soft",40,14-318,"Bananas, flesh only",50,12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",80,17-045,"Oil, sunflower",5,13-874,"Cinnamon, ground",5,17-367,Salt,1,,,,,,,,,,,,
42,Hungarian ratatuille,,13-517,"Tomatoes, standard, raw",150,13-499,"Onions, raw",100,13-526,"Pepper, capsicum, yellow, raw",100,13-889,Cumin seeds,2,13-879,Paprika,3,17-367,Salt,2,17-045,"Oil, sunflower",10,,,,,,,,,
43,Cream quark,,12-174,"Cheese, Quark",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cheese sandwich ,,12-358,"Cheese, Gouda",40,11-1145,"Bread, white, average",80,17-656,"Butter, spreadable, light (60% fat)",10,13-517,"Tomatoes, standard, raw",50,13-520,"Lettuce, average, raw",50,,,,,,,,,,,,,,,
45,Nutritional yeast,,17-517,Yeast extract,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Melon,,14-328,"Melon, yellow flesh, flesh only",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hot green pepper,,13-318,"Peppers, capsicum, green, raw",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Baguette,,11-978,"Bread, white, French stick",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Yogurt,,12-379,"Yogurt, low fat, plain",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Peach,,14-299,"Peaches, raw, flesh and skin",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Guacamole,,17-797,"Guacamole, homemade",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Feta cheese,,12-525,"Cheese, Feta",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Smoked paprika,,13-879,Paprika,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Scones, cheese",,11-1112,"Scones, cheese, homemade",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hard boiled eggs,,12-940,"Eggs, chicken, whole, boiled",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Soft boiled eggs,,12-940,"Eggs, chicken, whole, boiled",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mashed potatoes,,13-554,"Potatoes, old, mashed with reduced fat spread",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fried eggs,,12-944,"Eggs, chicken, whole, fried in sunflower oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Scrambled oats,"Mash a banana, add oats, an egg, soy milk and cinnamon. Panfry the mixture",11-788,"Porridge oats, unfortified",30,14-318,"Bananas, flesh only",50,12-937,"Eggs, chicken, whole, raw",50,13-874,"Cinnamon, ground",3,12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",30,17-367,Salt,0.5,,,,,,,,,,,,
60,Eggplant spread,,13-669,"Aubergine, flesh and skin, roasted in rapeseed oil",80,12-544,"Cream substitute, single",10,13-244,"Garlic, raw",2,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,,,,,,,,,,
61,Egg spread,,12-940,"Eggs, chicken, whole, boiled",100,12-555,"Yogurt, Greek style, plain",10,13-887,"Chives, fresh",5,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,,,,,,,,,,
62,Poached egg,,12-943,"Eggs, chicken, whole, poached",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tuna and corn salad,,16-416,"Tuna, canned in brine, drained",100,13-529,"Sweetcorn kernels, canned in water, drained",80,13-524,"Pepper, capsicum, red, raw",30,13-352,"Spring onions, bulbs and tops, raw",10,13-636,"Celery, raw",10,12-555,"Yogurt, Greek style, plain",30,,,,,,,,,,,,
64,Chicken ham and eggs,,12-944,"Eggs, chicken, whole, fried in sunflower oil",100,19-538,Chicken slices,50,,,,,,,,,,,,,,,,,,,,,,,,
65,Hungarian smoked sausage sandwich ,,19-657,"Sausages, premium, raw",30,13-316,"Peppers, capsicum, chilli, green, raw",50,13-352,"Spring onions, bulbs and tops, raw",30,11-1145,"Bread, white, average",80,17-656,"Butter, spreadable, light (60% fat)",10,,,,,,,,,,,,,,,
66,apple,,14-319,"Apples, eating, raw, flesh and skin",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,pecans,,14-837,"Pecan nuts, kernel only",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kohlrabi,,13-261,"Kohl rabi, raw",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Lettuce and vinegar,,13-520,"Lettuce, average, raw",100,17-339,Vinegar,5,17-063,"Sugar, white",5,,,,,,,,,,,,,,,,,,,,,
70,Broccoli dip,"Previously soked cashews, blended with steamed broccoli, cannellini beans and spices",13-504,"Broccoli, green, steamed",60,13-666,"Beans, cannellini, canned, re-heated, drained",15,14-811,"Cashew nuts, kernel only, plain",10,13-830,Garlic powder,3,13-889,Cumin seeds,1,,,,,,,,,,,,,,,
71,Carrot,,13-448,"Carrots, young, raw",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Pear ,,14-361,"Pears, average, flesh and skin, raw, weighed with core and stalk",180,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Oat biscuits,,11-803,"Biscuits, digestive, with oats, plain",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Popcorn,,17-692,"Popcorn, salted, retail",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Celery sticks,,13-636,"Celery, raw",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cucumber,,13-523,"Cucumber, raw, flesh and skin",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Sunflower seeds, toasted",,14-846,"Sunflower seeds, toasted",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Cashew nut,,14-811,"Cashew nuts, kernel only, plain",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Almond butter,Blend almonds until smooth,14-896,"Almonds, whole kernels",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Cornflakes,,11-742,"Breakfast cereal, cornflakes, fortified",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Banana,,14-318,"Bananas, flesh only",120,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Apples, dried",,14-016,"Apples, eating, dried",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Butternut squash, baked",,13-644,"Squash, butternut, baked",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Watermelon,,14-296,"Melon, watermelon, flesh only",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Caprese salad,,12-360,"Cheese, Mozzarella, fresh",50,13-517,"Tomatoes, standard, raw",50,13-804,"Basil, fresh",10,17-038,"Oil, olive",5,17-367,Salt,1,,,,,,,,,,,,,,,
86,Plum jam,,14-222,"Plums, Victoria, stewed without sugar",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kefir,,12-513,"Milk drink, fermented, with probiotics",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Rolled oats,,11-788,"Porridge oats, unfortified",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cottage cheese,,12-539,"Cheese, cottage, plain",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Apple sauce,,17-851,"Apple sauce, homemade",70,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,American pancakes,,11-886,"Flour, wheat, white, plain, soft",40,12-937,"Eggs, chicken, whole, raw",49,12-313,"Milk, semi-skimmed, pasteurised, average",40,17-355,Baking powder,4,17-063,"Sugar, white",10,17-661,"Butter, unsalted",5,17-367,Salt,0.5,,,,,,,,,
92,Apple muffins ,,11-886,"Flour, wheat, white, plain, soft",30,12-937,"Eggs, chicken, whole, raw",50,12-313,"Milk, semi-skimmed, pasteurised, average",30,17-355,Baking powder,5,13-874,"Cinnamon, ground",5,14-362,"Apples, cooking, raw, flesh only, peeled",30,17-060,"Sugar, brown",10,17-045,"Oil, sunflower",10,,,,,,
93,Olives,,14-359,"Olives, green, in brine, drained, flesh and skin, weighed with stones",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Egg muffins ,Baked egg cups with sautéed baby spinach and diced bell pepper in muffin tins,13-521,"Spinach, baby, raw",15,13-526,"Pepper, capsicum, yellow, raw",10,13-318,"Peppers, capsicum, green, raw",10,13-524,"Pepper, capsicum, red, raw",10,12-937,"Eggs, chicken, whole, raw",80,17-367,Salt,1,17-041,"Oil, rapeseed",5,,,,,,,,,
95,French toast,"Dip the bun into the egg-milk-cinnamon mixture, then toast both sides in hot butter",11-1091,"Milk bread, homemade",40,12-937,"Eggs, chicken, whole, raw",30,12-596,"Milk, whole, pasteurised, average",50,13-874,"Cinnamon, ground",3,17-060,"Sugar, brown",10,17-661,"Butter, unsalted",5,,,,,,,,,,,,
96,Smoked salmon,,16-412,"Salmon, smoked (cold-smoked)",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Chicken ham,,19-538,Chicken slices,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Hungarian white mold salami,,19-517,Salami,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Prosciutto,,19-496,Ham,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,bran crackers,,11-1134,"Crackers, wholemeal, homemade",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,grapes,,14-350,"Grapes, average",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Raisin,,14-393,"Raisins, dried",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Hungarian salt sticks ,,11-1134,"Crackers, wholemeal, homemade",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Milk bread,,11-1091,"Milk bread, homemade",70,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sour cherries,,14-382,"Cherries, flesh and skin, raw",70,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,spelt cracker,,11-1134,"Crackers, wholemeal, homemade",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Rye bread,,11-822,"Crispbread, rye",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Dill,,13-824,"Dill, fresh",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Green pea pottage,"Sautéed green peas, hinted with flour, then cooked in plant-based milk until ready, seasoned with freah parsley",13-527,"Peas, frozen, raw",250,11-889,"Flour, wheat, wholemeal",15,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",100,17-038,"Oil, olive",10,17-367,Salt,2,13-844,"Parsley, fresh",1,13-880,"Pepper, black",0.5,,,,,,,,,
110,Garlic bread,"Toasted baguette, rubbed with raw garlic",11-978,"Bread, white, French stick",30,13-244,"Garlic, raw",2,17-038,"Oil, olive",5,,,,,,,,,,,,,,,,,,,,,
111,Falafel,,15-795,"Falafel, fried in rapeseed oil, homemade",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Croutons,"Diced stale bread airfried or baked until golden, sprinkled with flaky salt and fresh herbs",11-1136,"Bread, brown, toasted",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Sweetcorn rice,"Steamed white rice, mixed with canned sweetcorn",11-857,"Rice, white, basmati, raw",40,13-529,"Sweetcorn kernels, canned in water, drained",40,,,,,,,,,,,,,,,,,,,,,,,,
114,Fermented pickles,Hungarian fermented cucumbers with crown dill,17-718,"Pickle, sweet",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Cooked potatoes with parsley,"Diced and cooked potatoes, mixed with salt, margarine and parsley",13-605,"Potatoes, old, boiled in salted water, flesh only",200,13-844,"Parsley, fresh",2,12-500,"Baking fat and margarine (75-90% fat), hard block",5,17-367,Salt,1,,,,,,,,,,,,,,,,,,
116,Tomato salad,,13-519,"Tomatoes, cherry, raw",70,13-499,"Onions, raw",30,14-340,"Olives, green, in brine, drained, flesh and skin",10,17-367,Salt,1,17-038,"Oil, olive",5,13-804,"Basil, fresh",2,,,,,,,,,,,,
117,"Sweet cottage cheese dumplings in breadcrumbs ""túrógombóc""","Boiled cottage cheese and semolina balls, coated in breadcrumbs and sugar",12-539,"Cheese, cottage, plain",125,11-889,"Flour, wheat, wholemeal",15,11-903,"Semolina, raw",15,12-937,"Eggs, chicken, whole, raw",30,17-367,Salt,0.5,17-063,"Sugar, white",10,11-1001,"Bread, white, toasted",20,17-661,"Butter, unsalted",10,,,,,,
118,Poppy seed pasta,,11-720,"Pasta, white,  twists, fusilli, dried, boiled in unsalted water",130,13-849,Poppy seeds,15,17-063,"Sugar, white",10,,,,,,,,,,,,,,,,,,,,,
119,Steamed white rice,,11-857,"Rice, white, basmati, raw",80,17-367,Salt,1,,,,,,,,,,,,,,,,,,,,,,,,
120,Dumplings,"Mix the ingredients with water for texture, scoope out small pieces into the boiling water, wait 2-3 minutes until they rise to the surface",11-886,"Flour, wheat, white, plain, soft",50,12-937,"Eggs, chicken, whole, raw",50,17-367,Salt,1,,,,,,,,,,,,,,,,,,,,,
121,Pickled beetroot,,13-166,"Beetroot, pickled, drained",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Pickled pearl onions,,13-309,"Onions, pickled, drained",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Steamed brown rice,,11-870,"Rice, brown, easy cook, raw",80,17-367,Salt,1,,,,,,,,,,,,,,,,,,,,,,,,
124,Mustard,,17-364,"Mustard, smooth",10,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Tahini dressing,"Mix the ingredients, loosen with water",14-847,Tahini paste,10,14-277,"Lemon juice, fresh",3,13-844,"Parsley, fresh",1,13-830,Garlic powder,1,17-367,Salt,1,,,,,,,,,,,,,,,
126,Marrow squash pottage with dill,"Sautéed marrow squach hinted with flour, cooked in plant-based milk until ready, seasoned with freah dill",13-274,"Marrow, raw",250,11-889,"Flour, wheat, wholemeal",20,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",100,13-824,"Dill, fresh",2,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,,,,,,,
127,Roasted veggie soup,"Roasted bell peppers, tomatoes, and courgette blended with cashew nuts and nutritional yeast",13-524,"Pepper, capsicum, red, raw",50,13-526,"Pepper, capsicum, yellow, raw",50,13-517,"Tomatoes, standard, raw",50,13-627,"Courgette, raw",50,14-811,"Cashew nuts, kernel only, plain",10,17-517,Yeast extract,10,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,
128,Chili sin carne,Beans with corn in a spicy tomato ragou,15-719,"Chilli, bean and lentil, homemade",200,13-529,"Sweetcorn kernels, canned in water, drained",30,,,,,,,,,,,,,,,,,,,,,,,,
129,Vegetables in breadcrumbs,"Mushrooms, broccoli and eggplants in breadcrumbs, deepfried",13-505,"Mushrooms, white, raw",50,13-504,"Broccoli, green, steamed",50,13-627,"Courgette, raw",50,11-1001,"Bread, white, toasted",50,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",100,11-886,"Flour, wheat, white, plain, soft",30,17-045,"Oil, sunflower",30,17-367,salt,2,,,,,,
130,"Tofu and rice stew with paprika ""rizses hús""","Hungarian meat and rice stew (meat substituted with tofu): Sautéd onions, tomatoes, red peppers and paprika with cubes of plain tofu and rice",13-499,"Onions, raw",20,13-318,"Peppers, capsicum, green, raw",30,13-530,"Tomatoes, canned, whole contents",50,17-045,"Oil, sunflower",10,11-878,"Rice, white, Italian Arborio risotto, raw",30,13-571,"Tofu, soya bean, steamed, fried",60,13-879,Paprika,1,,,,,,,,,
131,"Stuffed aubergine, vegan","Stuffed aubergine filled with a mixture of rice, lentils, onions, and spices.",15-001,"Aubergine, stuffed with lentils and vegetables",200,11-857,"Rice, white, basmati, raw",30,,,,,,,,,,,,,,,,,,,,,,,,
132,Chickpea wrap,"Mashed chickpeas and avocado, diced red onions and tomatoes with rocket salad, wrapped in a whole wheat tortilla",13-670,"Beans, chick peas, canned, re-heated, drained",80,14-039,"Avocado, Fuerte, flesh only",30,13-519,"Tomatoes, cherry, raw",30,13-522,"Rocket, raw",15,11-925,"Tortilla, wheat, soft",100,,,,,,,,,,,,,,,
133,"Stuffed peppers, vegan","Peppers filled with a mixture of rice, beans, corn, and tomatoes, and seasoned with cumin, chili, and other spices",13-524,"Pepper, capsicum, red, raw",150,13-660,"Beans, red kidney, canned in water, re-heated, drained",30,13-529,"Sweetcorn kernels, canned in water, drained",30,13-530,"Tomatoes, canned, whole contents",20,13-317,"Peppers, capsicum, chilli, red, raw",0.5,17-367,Salt,2,11-858,"Rice, white, basmati, boiled in unsalted water",30,,,,,,,,,
134,"Layered cauliflower casserole, vegan","Sauteé the onions, add the spices, add the tomatoes and cook for 5 minutes. Add the tofu cook until warmed through. Cook rice in salted water. Roast the cauliflower in chunks with oil in the oven at 180 celsius for 15 minutes. Assemble by layering the tofu then the rice and the cauliflower, top with vegan cream.",13-499,"Onions, raw",20,13-570,"Tofu, soya bean, steamed",70,13-879,Paprika,2,13-517,"Tomatoes, standard, raw",20,11-861,"Rice, white, long grain, raw",25,13-512,"Cauliflower, raw",200,17-045,"Oil, sunflower",10,,,,,,,,,
135,Cabbage pasta,Sautée the onions and the cabbage on the oil. Cook the pasta (csusza if avaiable) in salted water. Mix together.,13-499,"Onions, raw",30,13-509,"Cabbage, white, raw",100,11-716,"Pasta, white, dried, raw",100,17-045,"Oil, sunflower",10,17-367,Salt,1,13-880,"Pepper, black",0.5,,,,,,,,,,,,
136,Potato pasta,Sautée the onions and potatoes on the oil. Cook the pasta (csusza if avalaible) in salted water. Season at the end.,13-499,"Onions, raw",30,13-489,"Potatoes, old, raw, flesh only",100,11-716,"Pasta, white, dried, raw",100,17-045,"Oil, sunflower",10,17-367,Salt,1,13-880,"Pepper, black",0.5,13-879,Paprika,3,,,,,,,,,
137,"Fusilli with green pesto, courgettes and chickpeas",,11-721,"Pasta, white, twists, fusilli, dried, boiled in salted water",150,17-622,"Pesto, green",20,13-629,"Courgette, roasted in rapeseed oil",60,13-670,"Beans, chick peas, canned, re-heated, drained",60,,,,,,,,,,,,,,,,,,
138,Red lentil pottage,,13-657,"Lentils, red, split, dried, raw",150,13-489,"Potatoes, old, raw, flesh only",50,13-496,"Carrots, old, raw",50,13-499,"Onions, raw",30,17-038,"Oil, olive",10,13-244,"Garlic, raw",3,13-861,"Turmeric, ground",1,13-879,Paprika,1,17-367,Salt,2,13-880,"Pepper, black",0.5
