ID,Name,Description [OPTIONAL],Contains animal products?,Type,Autumn,Winter,Spring,Summer,ID,Dish #1,ID,Dish #2,ID,Dish #3,ID,Dish #4,ID,Dish #5,ID,Dish #6,ID,Dish #7,ID,Dish #8,ID,Dish #9,ID,Dish #10
72,"Mushroom soup, ham croquettes and cranberries",,Red meat,Dinner,Y,Y,Y,Y,69,mushroom soup,56,ham croquettes,103,cranberries,,,,,,,,,,,,,,
73,Oat porridge and banana,,Dairy,Breakfast,Y,Y,Y,Y,13,oat porridge,98,banana,,,,,,,,,,,,,,,,
74,"Beek fricando, roasted vegetables and tangerine",,Red meat,Lunch,Y,Y,Y,Y,47,beef fricando,44,mixed roasted vegetables,132,tangerine,,,,,,,,,,,,,,
75,Roasted apple and pistachio nuts,,Plant based,Snack,Y,Y,Y,Y,115,roasted apple,176,pistachio nuts,,,,,,,,,,,,,,,,
76,"Chickpeas with octopus, thyme soup and skimmed yogurt",,Other meat,Dinner,Y,Y,Y,Y,64,chickpeas with octopus,126,thyme soup,133,skimmed yogurt,,,,,,,,,,,,,,
77,Coffee with milk and cheese and tomato toast,,Dairy,Breakfast,Y,Y,Y,Y,5,coffee with milk,173,cheese and tomato toast,,,,,,,,,,,,,,,,
78,"Fish rice, pickled carrots and macedonia",,Other meat,Lunch,Y,Y,Y,Y,59,fish rice (arroz a banda),116,prickled carrots,107,macedonia,,,,,,,,,,,,,,
79,Fresh cheese and quince sweet,,Plant based,Snack,Y,Y,N,N,121,fresh cheese,163,quince sweet,,,,,,,,,,,,,,,,
80,"Sauteed artichokes with ham, roasted chicken wings and pomegranate",,Other meat,Dinner,Y,Y,N,N,71,sauteed artichokes with ham,187,roasted chicken wings,144,pomegranate fruit,,,,,,,,,,,,,,
81,"Infusion, vegetable drink glass and whipped cheese with fruits",,Dairy,Breakfast,Y,Y,Y,Y,150,infusion,114,whipped cheese with fruit,9,vegetable drink glass,,,,,,,,,,,,,,
82,"Trinxat, rabbit with mushrooms and eggs custard",,Other meat,Lunch,Y,Y,N,N,42,trinxat,128,rabbit with mushrooms,110,egg custard,,,,,,,,,,,,,,
83,Orange juice and cocoa cake,,Plant based,Snack,Y,Y,Y,Y,26,orange juice,19,cocoa cake,,,,,,,,,,,,,,,,
84,"Catalan spinach, lemon sole papillote and kiwi",,Other meat,Dinner,Y,Y,N,N,50,catalan spinach,82,lemon sole papillotte,102,kiwi,,,,,,,,,,,,,,
85,Coffee with milk and tuna sandwich,,Other meat,Breakfast,Y,Y,Y,Y,5,coffee with milk,24,tuna sandwich,,,,,,,,,,,,,,,,
86,"Blue cheese endives, stewed lentils and red fruits macedonia",,Dairy,Lunch,Y,Y,N,N,85,blue cheese endives,153,stewed lentils,106,red fruits macedonia,,,,,,,,,,,,,,
87,"Vegetal yogurt, cereals and tangerine",,Plant based,Snack,Y,Y,Y,Y,118,vegetal yogurt,112,cereals,132,tangerine,,,,,,,,,,,,,,
88,"Roasted vegetables, sausage with beans and rice puding",,Other meat,Dinner,Y,Y,Y,Y,167,roasted vegetables (escalivada),41,sausage and beans,168,rice pudding,,,,,,,,,,,,,,
89,"Coffee, apple and milk and bread porridge",,Dairy,Breakfast,Y,Y,Y,Y,7,coffee,1,apple,129,milk and bread porridge,,,,,,,,,,,,,,
90,"Chickpeas with spinach, boiled egg, cheese and orange",,Dairy,Lunch,Y,Y,N,N,58,chickpeas with spinach,188,boiled egg,189,"""manchego"" cheese",120,orange,,,,,,,,,,,,
91,Pomegranate and mixed roasted nuts,,Plant based,Snack,Y,Y,N,N,144,pomegranate fruit,111,mixed roasted nuts,,,,,,,,,,,,,,,,
92,"Pumpkin soup, sardines and macedonia",,Other meat,Dinner,Y,Y,N,N,67,pumpkin soup,52,grilled cod,108,fresh cheese with honey (miel y mato),,,,,,,,,,,,,,
93,Infusion and butter and jam toast,,Dairy,Breakfast,Y,Y,Y,Y,150,infusion,11,butter and jam toast,,,,,,,,,,,,,,,,
94,"White sauce cauliflower, garlic srimp and kiwi",,Other meat,Lunch,Y,Y,N,N,94,white sauce cauliflower,77,garlic shrimp,102,kiwi,,,,,,,,,,,,,,
95,Vegetal yogurt and olive oil toast,,Plant based,Snack,Y,Y,Y,Y,118,vegetal yogurt,10,olive oil toast,,,,,,,,,,,,,,,,
96,"Onion soup, hamburguer and whipped cheese with fruit",,Red meat,Dinner,Y,Y,N,N,66,onion soup,89,hamburguer,114,whipped cheese with fruit,,,,,,,,,,,,,,
97,"Coffee with vegetable milk, wholemeal biscuits and kiwi",,Plant based,Breakfast,Y,Y,Y,Y,6,coffee with vegetable milk,180,wholemeal biscuits,102,kiwi,,,,,,,,,,,,,,
98,"Green salad, vegetables lentils and red fuits macedonia",,Plant based,Lunch,Y,Y,Y,Y,145,green salad,57,vegetable lentils,106,red fruits macedonia,,,,,,,,,,,,,,
99,Banana and mixed roasted nuts,,Plant based,Snack,Y,Y,Y,Y,98,banana,111,mixed roasted nuts,,,,,,,,,,,,,,,,
100,"Cauliflower with beans, bread soup and roasted apple",,Plant based,Dinner,Y,Y,N,N,137,cauliflower with beans,142,bread soup,115,roasted apple,,,,,,,,,,,,,,
101,"Winter salad, vegetables lasagna and pears in wine",,Plant based,Lunch,Y,Y,Y,Y,127,celery and curly endive salad,97,vegetables lasagna,130,pears in wine,,,,,,,,,,,,,,
102,"White bean salad, calçots and romesco sauce, and tangerine",,Plant based,Lunch,Y,Y,Y,Y,49,white bean salad,46,calçots with romesco sauce,132,tangerine,,,,,,,,,,,,,,
103,Pesto pasta and red fruits macedonia,,Plant based,Lunch,Y,Y,Y,Y,39,pesto pasta,106,red fruits macedonia,,,,,,,,,,,,,,,,
104,"Vegetable broth, chickpeas with spinach and vegetable yogurt",,Plant based,Dinner,Y,Y,N,N,139,vegetable broth,58,chickpeas with spinach,118,vegetal yogurt,113,mixed dried fruits,,,,,,,,,,,,
105,"Grilled artichokes, vegan mushroom croquettes and roasted apple",,Plant based,Dinner,Y,Y,N,N,122,grilled artichokes,190,vegan mushroom croquettes,115,roasted apple,,,,,,,,,,,,,,
106,Coffee with vegetable milk and avocado toast,,Plant based,Breakfast,Y,Y,Y,Y,6,coffee with vegetable milk,16,avocado toast,,,,,,,,,,,,,,,,
107,"Tomato soup, fideua and melon",,Other meat,Lunch,N,N,Y,Y,92,tomato soup (gazpacho),156,fideua,100,melon,,,,,,,,,,,,,,
108,Whipped cheese with fruit,,Dairy,Snack,Y,Y,Y,Y,114,whipped cheese with fruit,,,,,,,,,,,,,,,,,,
109,"Vegetable broth, chicken with cider and peach",,Other meat,Dinner,N,N,Y,Y,139,vegetable broth,93,chicken with cider,175,peach,,,,,,,,,,,,,,
110,"Infusion, cupcakes and strawberries",,Dairy,Breakfast,N,N,Y,Y,150,infusion,28,cupcakes,104,strawberries,,,,,,,,,,,,,,
111,"Catalan salad, peas with sausage and freese cheese with honey",,Red meat,Lunch,N,N,Y,Y,68,catalan salad (xató),#NAME?,peas with saussage,108,fresh cheese with honey (miel y mato),,,,,,,,,,,,,,
112,Grapes and mixed roasted nuts,,Plant based,Snack,N,N,Y,Y,109,grapes,111,mixed roasted nuts,,,,,,,,,,,,,,,,
113,"Vichysoisse, ham croquettes and plum",,Other meat,Dinner,N,N,Y,Y,84,vichyssoise,56,ham croquettes,105,plum,,,,,,,,,,,,,,
114,"Coffee, oat biscuits and mixed dried fruits",,Other meat,Breakfast,Y,Y,Y,Y,7,coffee,27,oat biscuits,113,mixed dried fruits,,,,,,,,,,,,,,
115,"Esqueixada, beef with vegetables and figs",,Red meat,Lunch,Y,Y,Y,Y,45,esqueixada,62,beef with vegetables (ternera a la jardinera),166,figs,,,,,,,,,,,,,,
116,"Cucumber and carrot sticks, and greek yogurt",,Dairy,Snack,N,N,Y,Y,117,cucumber and carrot sticks,154,greek style yogurt,,,,,,,,,,,,,,,,
117,"Green salad, tuna sandwich and egg custard",,Other meat,Dinner,Y,Y,Y,Y,145,green salad,24,tuna sandwich,110,egg custard,,,,,,,,,,,,,,
118,Vegetable drink and chocolate biscuits,,Egg,Breakfast,Y,Y,Y,Y,9,vegetable drink glass,31,chocolate biscuits,,,,,,,,,,,,,,,,
119,"Sanfaina, garlic rabbit and grapes",,Other meat,Lunch,N,N,Y,Y,43,samfaina,95,garlic rabbit,109,grapes,,,,,,,,,,,,,,
120,Fresh cheese with honey and mixed roasted nuts,,Dairy,Snack,N,N,Y,Y,108,fresh cheese with honey (miel y mato),111,mixed roasted nuts,,,,,,,,,,,,,,,,
121,"Roasted aubergines, stuffed potatoes and strawberries",,Other meat,Dinner,N,N,Y,Y,157,roasted aubergines,88,stuffed potatoes,104,strawberries,,,,,,,,,,,,,,
122,Coffee with milk and ham sandwich,,Other meat,Breakfast,Y,Y,Y,Y,5,coffee with milk,20,ham sandwich,,,,,,,,,,,,,,,,
123,"White bean salad, sardines and plum",,Other meat,Lunch,N,N,Y,Y,49,white bean salad,148,grilled sardines,105,plum,,,,,,,,,,,,,,
124,Yogurt with cereals and figs and walnuts,,Dairy,Snack,Y,Y,Y,Y,14,yogurt with cereals,140,figs and walnuts,,,,,,,,,,,,,,,,
125,"Egg and mushroom pan, peas with sausage and watermelon",,Red meat,Dinner,N,N,Y,Y,81,egg and mushroom pan,83,peas with sausage,101,watermelon,,,,,,,,,,,,,,
126,"Milk and bread porridge, and coffee",,Dairy,Breakfast,Y,Y,Y,Y,129,milk and bread porridge,7,coffee,,,,,,,,,,,,,,,,
127,"Vegetable lentils, boiled egg, cheese and apricot",,Dairy,Lunch,N,N,Y,Y,57,vegetable lentils,188,boiled egg,189,"""manchego"" cheese",184,apricot,,,,,,,,,,,,
128,Cupcakes and infusion,,Dairy,Snack,Y,Y,Y,Y,28,cupcakes,150,infusion,98,banana,,,,,,,,,,,,,,
129,"Russian salad, beef steak and macedonia",,Other meat,Dinner,Y,Y,Y,Y,33,russian salad,158,beef steak,107,macedonia,,,,,,,,,,,,,,
130,Avocado toast and orange juice,,Plant based,Breakfast,Y,Y,Y,Y,16,avocado toast,26,orange juice,,,,,,,,,,,,,,,,
131,"Green salad, vegetables pasta, cheese and figs",,Dairy,Lunch,N,N,Y,Y,145,green salad,38,vegetables pasta,189,"""manchego"" cheese",166,figs,,,,,,,,,,,,
132,"Cucumber and carrot sticks, and greek yogurt",,Dairy,Snack,N,N,Y,Y,117,cucumber and carrot sticks,154,greek style yogurt,,,,,,,,,,,,,,,,
133,Empedrat and egg custard,,Other meat,Dinner,Y,Y,Y,Y,171,empedrat,110,egg custard,,,,,,,,,,,,,,,,
134,Coffee with vegetable milk and olive oil toast,,Plant based,Breakfast,Y,Y,Y,Y,6,coffee with vegetable milk,174,"bread, chocolate and olive oil",,,,,,,,,,,,,,,,
135,"Caprese salad, roasted chicken wings and peach",,Other meat,Lunch,N,N,Y,Y,91,caprese salad,187,roasted chicken wings,175,peach,,,,,,,,,,,,,,
136,Watermelon and pistachio nuts,,Plant based,Snack,N,N,Y,Y,101,watermelon,176,pistachio nuts,150,infusion,,,,,,,,,,,,,,
137,"Beans with chard, roasted vegetables and skimmed yogurt",,Red meat,Dinner,Y,Y,Y,Y,164,beans with chard,167,roasted vegetables (escalivada),133,skimmed yogurt,,,,,,,,,,,,,,
138,Coffee and lemon cake,,Dairy,Breakfast,Y,Y,Y,Y,7,coffee,18,lemon cake,,,,,,,,,,,,,,,,
139,"Esqueixada, lemon sole papillote and apricot",,Other meat,Lunch,N,N,Y,Y,45,esqueixada,82,lemon sole papillotte,184,apricot,,,,,,,,,,,,,,
140,Whipped cheese with fruit and mixed roasted nuts,,Dairy,Snack,Y,Y,Y,Y,114,whipped cheese with fruit,111,mixed roasted nuts,,,,,,,,,,,,,,,,
141,"Grilled mushrooms, boiled beans and figs",,Plant based,Dinner,N,N,Y,Y,134,grilled mushrooms,169,boiled beans,166,figs,27,oat biscuits,,,,,,,,,,,,
142,"Butter and jam toast, and infusion",,Dairy,Breakfast,Y,Y,Y,Y,11,butter and jam toast,150,infusion,,,,,,,,,,,,,,,,
143,"Vegetable broth, pig ribs stew and melon",,Red meat,Lunch,Y,Y,Y,Y,139,vegetable broth,65,pig ribs stew,100,melon,,,,,,,,,,,,,,
144,Tomato toast and plum,,Plant based,Snack,N,N,Y,Y,2,tomato toast (pa amb tomaquet),105,plum,,,,,,,,,,,,,,,,
145,"Green salad, pickled carrots, vegetables omelette and pear",,Egg,Dinner,Y,Y,Y,Y,145,green salad,116,prickled carrots,125,mixed vegetables omelette,99,pear,,,,,,,,,,,,
146,"Beef with vegetables, rice and watermelon",,Red meat,Lunch,N,N,Y,Y,62,beef with vegetables (ternera a la jardinera),186,side rice,100,melon,,,,,,,,,,,,,,
147,"Tomato soup, rice salad and watermelon",,Plant based,Lunch,N,N,Y,Y,92,tomato soup (gazpacho),79,rice salad,101,watermelon,,,,,,,,,,,,,,
148,"Pea soup, vegetable ""hamburguer"" and peach",,Plant based,Lunch,N,N,Y,Y,75,pea soup,90,"vegetable ""hamburguer""",175,peach,,,,,,,,,,,,,,
149,"Vichyssoise, stuffed squid and melon",,Other meat,Dinner,N,N,Y,Y,84,vichyssoise,54,stuffed squid,100,melon,,,,,,,,,,,,,,
150,"Stuffed peppers, pickled bream fish and grapes",,Plant based,Dinner,N,N,Y,Y,72,stuffed peppers,136,pickled bream fish,109,grapes,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
